system   I             system.c:245  al_install_system                [   0.00044] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:184  _al_register_destructor          [   0.18466] added dtor for object 048FC9F8, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18469] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18471] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18474] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18477] added dtor for object 048FCB00, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18484] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18487] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18489] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.18492] added dtor for object 048FCC08, func 001814B0
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.18495] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18497] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.18500] 
acodec   I                ogg.c:203  _al_load_ogg_vorbis              [   0.18502] Loading sample Hit.ogg.
acodec   D                ogg.c:262  _al_load_ogg_vorbis_f            [   0.18567] channels 2
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.18570] word_size 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.18573] rate 48000
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.18576] total_samples 11945
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.18578] total_size 47780
dtor     D               dtor.c:184  _al_register_destructor          [   0.18787] added dtor for object 049E4F10, func 001813E3
acodec   I                ogg.c:203  _al_load_ogg_vorbis              [   0.18793] Loading sample Sniper_Rifle.ogg.
acodec   D                ogg.c:262  _al_load_ogg_vorbis_f            [   0.18848] channels 2
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.18852] word_size 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.18854] rate 22050
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.18857] total_samples 67392
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.18859] total_size 269568
dtor     D               dtor.c:184  _al_register_destructor          [   0.19538] added dtor for object 049E4EC8, func 001813E3
acodec   I                ogg.c:203  _al_load_ogg_vorbis              [   0.19545] Loading sample Assault_Riffle.ogg.
acodec   D                ogg.c:262  _al_load_ogg_vorbis_f            [   0.19592] channels 2
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.19595] word_size 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.19598] rate 22050
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.19600] total_samples 41824
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.19603] total_size 167296
dtor     D               dtor.c:184  _al_register_destructor          [   0.19969] added dtor for object 049E4E80, func 001813E3
acodec   I                ogg.c:203  _al_load_ogg_vorbis              [   0.19976] Loading sample music.ogg.
acodec   D                ogg.c:262  _al_load_ogg_vorbis_f            [   0.20048] channels 2
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   0.20051] word_size 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   0.20053] rate 44100
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   0.20056] total_samples 10691712
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   0.20058] total_size 42766848
dtor     D               dtor.c:184  _al_register_destructor          [   0.86129] added dtor for object 049E5228, func 001813E3
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86156] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86159] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86162] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86164] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86166] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86169] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86172] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86174] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86176] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86178] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86181] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86183] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.86185] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86353] added dtor for object 04A4F230, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.86363] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.86367] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86499] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86502] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86505] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86507] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86510] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86512] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86514] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86517] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86519] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86521] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86524] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86527] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.86529] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86551] added dtor for object 04A4F398, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.86558] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.86561] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86595] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86598] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86601] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86603] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86606] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86608] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86610] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86613] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86615] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86617] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86620] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86622] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.86625] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86646] added dtor for object 04A4F0C8, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.86654] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.86657] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86696] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86699] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86701] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86704] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86706] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86708] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86711] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86713] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86715] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86718] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86720] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86723] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.86725] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86746] added dtor for object 04A4EF60, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.86754] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.86757] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86795] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86798] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86800] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86802] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86805] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86807] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86810] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86812] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86814] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86817] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86819] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86822] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.86824] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86842] added dtor for object 04A4F500, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.86849] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.86852] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86884] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86887] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86889] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86892] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86894] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86897] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86899] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86902] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86904] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86906] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86909] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86911] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.86914] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.86932] added dtor for object 04A4F668, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.86937] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.86940] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86972] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86975] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86978] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86980] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86983] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86985] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86987] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86990] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.86992] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.86994] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.86997] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.86999] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.87002] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.87020] added dtor for object 04A4F7D0, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87027] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87030] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87062] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87065] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87068] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87070] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87072] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87075] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87077] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87079] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87082] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.87084] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.87087] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.87089] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.87092] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.87110] added dtor for object 04A4F938, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87117] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87120] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87152] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87155] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87157] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87160] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87162] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87164] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87167] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87169] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87171] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.87174] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.87176] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.87179] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.87181] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.87199] added dtor for object 04A4FAA0, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87205] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87208] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87261] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87265] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87268] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87270] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87272] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87275] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87277] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87279] Fake format
d3d      D         d3d_disp.cpp:1186 real_choose_bitmap_format        [   0.87282] Fake format
d3d      D         d3d_disp.cpp:1194 real_choose_bitmap_format        [   0.87284] Alpha doesn't match
d3d      D         d3d_disp.cpp:1201 real_choose_bitmap_format        [   0.87287] Adapter format is 23
d3d      D         d3d_disp.cpp:1204 real_choose_bitmap_format        [   0.87289] Found a format
d3d      I         d3d_disp.cpp:2381 d3d_create_bitmap                [   0.87292] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.87311] added dtor for object 04A4FC08, func 0FB521E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87318] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87321] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.87357] added dtor for object 04A5E0A8, func 0FB5233D
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87505] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87511] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87541] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87545] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87556] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87560] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87570] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87574] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87585] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87588] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87599] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87603] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87614] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87617] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87628] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87631] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87644] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87647] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87710] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87714] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87725] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87728] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87740] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87743] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87756] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87759] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87772] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87775] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87787] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87790] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87803] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87806] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87818] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87821] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87833] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87836] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.87846] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.87849] _al_d3d_sync_bitmap (video) ref count == 1
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   2.54258] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   2.54268]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   2.54271]  0.000000 0.707107
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49568] removed dtor for object 048FC2C0
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49574] removed dtor for object 048FC3C8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49578] removed dtor for object 048FC4D0
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49580] removed dtor for object 048FC5D8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49583] removed dtor for object 048FC6E0
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49586] removed dtor for object 048FC7E8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49589] removed dtor for object 048FC8F0
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49592] removed dtor for object 048FC9F8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49595] removed dtor for object 048FCB00
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49598] removed dtor for object 048FCC08
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49600] removed dtor for object 04A00AD0
audio-dsound D           dsound.cpp:539  _dsound_stop_voice               [   3.49603] Stopping voice
audio-dsound D           dsound.cpp:556  _dsound_stop_voice               [   3.49606] Joining thread
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [   3.49805] Joined thread
audio-dsound D           dsound.cpp:564  _dsound_stop_voice               [   3.49809] Destroying thread
audio-dsound D           dsound.cpp:566  _dsound_stop_voice               [   3.49812] Thread destroyed
audio-dsound D           dsound.cpp:573  _dsound_stop_voice               [   3.49814] Releasing buffer
audio-dsound I           dsound.cpp:577  _dsound_stop_voice               [   3.49817] Voice stopped
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49820] removed dtor for object 04912570
audio-dsound D           dsound.cpp:389  _dsound_deallocate_voice         [   3.49823] Deallocating voice
audio-dsound D           dsound.cpp:394  _dsound_deallocate_voice         [   3.49825] Deallocated voice
dtor     D               dtor.c:114  _al_run_destructors              [   3.49828] calling dtor for object 049E5228, func 001813E3
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.49831] removed dtor for object 049E5228
dtor     D               dtor.c:114  _al_run_destructors              [   3.50380] calling dtor for object 049E4E80, func 001813E3
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50389] removed dtor for object 049E4E80
dtor     D               dtor.c:114  _al_run_destructors              [   3.50394] calling dtor for object 049E4EC8, func 001813E3
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50397] removed dtor for object 049E4EC8
dtor     D               dtor.c:114  _al_run_destructors              [   3.50410] calling dtor for object 049E4F10, func 001813E3
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50414] removed dtor for object 049E4F10
audio-dsound D           dsound.cpp:303  _dsound_close                    [   3.50417] Releasing device
audio-dsound D           dsound.cpp:305  _dsound_close                    [   3.50897] Released device
audio-dsound I           dsound.cpp:308  _dsound_close                    [   3.50903] DirectSound closed
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50906] removed dtor for object 049E2598
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50911] removed dtor for object 049F2AA8
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50915] removed dtor for object 049F7560
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50918] removed dtor for object 049FC018
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50922] removed dtor for object 04A04C00
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.50926] removed dtor for object 04A08FE8
